entry,at,order
"The admin updated the player ""damo @ VUdv-wN0K4"" stack from 10980 to 1000.",2023-08-02T23:38:16.600Z,169101949660001
"WARNING: the admin queued the stack change for the player ""damo @ VUdv-wN0K4"" reseting to 1000 chips in the next hand.",2023-08-02T23:38:16.600Z,169101949660000
"The player ""BEEP @ 9gQ_8P10M1"" quits the game with a stack of 0.",2023-08-02T23:37:05.764Z,169101942576401
"The player ""flypto @ 7TP78l9kGR"" quits the game with a stack of 0.",2023-08-02T23:37:05.764Z,169101942576400
"-- ending hand #1641 --",2023-08-02T23:36:59.758Z,169101941975805
"""BEEP @ 9gQ_8P10M1"" shows a 9♠, K♠.",2023-08-02T23:36:59.758Z,169101941975804
"""damo @ VUdv-wN0K4"" collected 1708 from pot with Straight, A High (combination: A♦, K♥, Q♣, J♦, 10♠)",2023-08-02T23:36:59.758Z,169101941975803
"""flypto @ 7TP78l9kGR"" shows a Q♦, 6♣.",2023-08-02T23:36:59.758Z,169101941975802
"""damo @ VUdv-wN0K4"" collected 3000 from pot with Straight, A High (combination: A♦, K♥, Q♣, J♦, 10♠)",2023-08-02T23:36:59.758Z,169101941975801
"""damo @ VUdv-wN0K4"" shows a 4♠, A♦.",2023-08-02T23:36:59.758Z,169101941975800
"""damo @ VUdv-wN0K4"" calls 454",2023-08-02T23:36:58.928Z,169101941892800
"""flypto @ 7TP78l9kGR"" bets 454 and go all in",2023-08-02T23:36:57.071Z,169101941707100
"River: 10♠, J♦, Q♣, K♥ [2♥]",2023-08-02T23:36:53.635Z,169101941363500
"""flypto @ 7TP78l9kGR"" calls 1200",2023-08-02T23:36:52.799Z,169101941279900
"""BEEP @ 9gQ_8P10M1"" calls 800 and go all in",2023-08-02T23:36:51.892Z,169101941189200
"""damo @ VUdv-wN0K4"" raises to 1200",2023-08-02T23:36:50.845Z,169101941084500
"""flypto @ 7TP78l9kGR"" calls 360",2023-08-02T23:36:46.891Z,169101940689100
"""BEEP @ 9gQ_8P10M1"" bets 360",2023-08-02T23:36:44.209Z,169101940420900
"Turn: 10♠, J♦, Q♣ [K♥]",2023-08-02T23:36:25.467Z,169101938546700
"""damo @ VUdv-wN0K4"" calls 120",2023-08-02T23:36:24.644Z,169101938464400
"""flypto @ 7TP78l9kGR"" calls 120",2023-08-02T23:36:23.684Z,169101938368400
"""BEEP @ 9gQ_8P10M1"" bets 120",2023-08-02T23:36:20.488Z,169101938048800
"Flop:  [10♠, J♦, Q♣]",2023-08-02T23:36:17.249Z,169101937724900
"""flypto @ 7TP78l9kGR"" calls 80",2023-08-02T23:36:16.410Z,169101937641000
"""BEEP @ 9gQ_8P10M1"" calls 80",2023-08-02T23:36:15.497Z,169101937549700
"""damo @ VUdv-wN0K4"" raises to 80",2023-08-02T23:36:14.419Z,169101937441900
"""flypto @ 7TP78l9kGR"" posts a big blind of 20",2023-08-02T23:36:12.642Z,169101937264207
"""BEEP @ 9gQ_8P10M1"" posts a small blind of 10",2023-08-02T23:36:12.642Z,169101937264206
"Your hand is Q♦, 6♣",2023-08-02T23:36:12.642Z,169101937264203
"Player stacks: #1 ""flypto @ 7TP78l9kGR"" (1854) | #5 ""damo @ VUdv-wN0K4"" (8126) | #8 ""BEEP @ 9gQ_8P10M1"" (1000)",2023-08-02T23:36:12.642Z,169101937264202
"-- starting hand #1641 (id: zijiem1l2wbf)  (No Limit Texas Hold'em) (dealer: ""damo @ VUdv-wN0K4"") --",2023-08-02T23:36:12.642Z,169101937264201
"The player ""BEEP @ 9gQ_8P10M1"" joined the game with a stack of 1000.",2023-08-02T23:36:12.642Z,169101937264200
"""damo @ VUdv-wN0K4"" shows a 2♣, 9♣.",2023-08-02T23:36:07.446Z,169101936744600
"Undealt cards: 8♣, 10♣, 10♥, 7♦ [A♦]",2023-08-02T23:36:06.883Z,169101936688300
"-- ending hand #1640 --",2023-08-02T23:36:06.038Z,169101936603802
"""damo @ VUdv-wN0K4"" collected 300 from pot",2023-08-02T23:36:06.038Z,169101936603801
"Uncalled bet of 225 returned to ""damo @ VUdv-wN0K4""",2023-08-02T23:36:06.038Z,169101936603800
